run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,10,src,0,16,1.0000000000,16,0,13.7605266571,11.9503984451,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,10,src,1,2,1.0000000000,2,0,1.9911440611,29.9516448975,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,10,raq,0,16,1.0000000000,16,0,11.0773200989,18.2521934509,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,10,raq,1,2,1.0000000000,2,0,1.9060957432,0.0000000000,2,1.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,20,src,0,16,1.0000000000,16,0,12.4882812500,13.6358680725,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,20,src,1,2,1.0000000000,2,0,1.9947092533,31.8405590057,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,20,raq,0,16,0.9375000000,15,1,6.7116484642,25.7058467865,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,20,raq,1,2,1.0000000000,2,0,1.9999722242,0.0078125000,2,1.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,30,src,0,16,1.0000000000,16,0,11.2982120514,11.3434810638,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,30,src,1,2,1.0000000000,2,0,1.9713274240,33.8337211609,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,30,raq,0,16,0.5000000000,8,8,2.4977798462,48.6470298767,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,30,raq,1,2,1.0000000000,2,0,1.9578095675,0.0055242716,2,1.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,40,src,0,16,1.0000000000,16,0,10.2429733276,11.4125089645,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,40,src,1,2,1.0000000000,2,0,1.9813635349,36.7635116577,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,40,raq,0,16,0.3750000000,6,10,2.1536231041,57.9736137390,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,40,raq,1,2,1.0000000000,2,0,1.9997558594,0.0039062500,2,1.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,50,src,0,16,1.0000000000,16,0,9.7910280228,11.5195360184,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,50,src,1,2,1.0000000000,2,0,1.9979736805,37.0368919373,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,50,raq,0,16,0.3750000000,6,10,2.0312440395,65.9712524414,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_ch512-1024-20260622-031359,50,raq,1,2,1.0000000000,2,0,1.9687341452,0.0000000000,2,1.0000000000,2,1
