run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,10,0,65536,0.7480468750,49024,16512,29302.4492187500,3.2468583584,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,10,1,8192,0.9973144531,8170,22,6804.2734375000,0.0975780934,4,0.0004882812,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,20,0,65536,0.8161315918,53486,12050,35568.3906250000,5.0320057869,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,20,1,8192,0.9964599609,8163,29,6659.1718750000,0.1304360032,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,30,0,65536,0.8142852783,53365,12171,33959.6210937500,5.4356360435,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,30,1,8192,0.9963378906,8162,30,6707.4951171875,0.1996395737,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,40,0,65536,0.8114624023,53180,12356,33846.3125000000,5.5205101967,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,40,1,8192,0.9949951172,8151,41,6597.7500000000,0.2450685501,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,50,0,65536,0.7902069092,51787,13749,26164.3515625000,5.5490570068,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,50,1,8192,0.9927978516,8133,59,6485.6113281250,0.1655899882,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,60,0,65536,0.7810058594,51184,14352,23289.7128906250,5.5814023018,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,60,1,8192,0.9914550781,8122,70,6466.1591796875,0.2266382575,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,70,0,65536,0.8109588623,53147,12389,33734.1601562500,5.6130542755,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,70,1,8192,0.9940185547,8143,49,6624.2241210938,0.1964032054,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,80,0,65536,0.7920532227,51908,13628,27543.6582031250,5.6668787003,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,80,1,8192,0.9941406250,8144,48,6584.9838867188,0.4094115198,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,90,0,65536,0.8089752197,53017,12519,33947.8593750000,5.7196226120,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,90,1,8192,0.9963378906,8162,30,6759.0053710938,0.4383362532,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,100,0,65536,0.7810821533,51189,14347,25322.9960937500,5.6804842949,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,100,1,8192,0.9943847656,8146,46,6511.5317382812,0.3696724474,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,110,0,65536,0.7864379883,51540,13996,26435.1054687500,5.6546859741,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,110,1,8192,0.9968261719,8166,26,6508.2226562500,0.3327428102,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,120,0,65536,0.7844238281,51408,14128,25603.3320312500,5.6286492348,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,120,1,8192,0.9952392578,8153,39,6434.2192382812,0.4154237509,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,130,0,65536,0.7948608398,52092,13444,28612.6054687500,5.5986127853,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,130,1,8192,0.9958496094,8158,34,6503.7714843750,0.3044996560,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,140,0,65536,0.7972106934,52246,13290,29575.7871093750,5.5940804482,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,140,1,8192,0.9940185547,8143,49,6530.8222656250,0.3269603550,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,150,0,65536,0.7859954834,51511,14025,27645.4609375000,5.5597057343,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,150,1,8192,0.9923095703,8129,63,6537.9497070312,0.4135093689,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,160,0,65536,0.7850952148,51452,14084,26476.1660156250,5.5234861374,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,160,1,8192,0.9902343750,8112,80,6475.1845703125,0.4210060537,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,170,0,65536,0.7958526611,52157,13379,29094.5566406250,5.5080547333,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,170,1,8192,0.9930419922,8135,57,6611.9575195312,0.3892162144,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,180,0,65536,0.7785949707,51026,14510,25295.5585937500,5.4915246964,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,180,1,8192,0.9887695312,8100,92,6476.8242187500,0.3824136853,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,190,0,65536,0.7776336670,50963,14573,25347.3300781250,5.4653143883,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,190,1,8192,0.9876708984,8091,101,6445.3764648438,0.2618061900,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,200,0,65536,0.7825469971,51285,14251,26746.2382812500,5.4222846031,0,0.0000000000,4096,0
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,200,1,8192,0.9885253906,8098,94,6491.5346679688,0.2353495359,0,0.0000000000,4096,0
